time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1567382400,10000,10412.65,10000,10391.63,3096.291,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1567987200,10316.62,10475.54,9884.31,10302.22,110846.484,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568592000,10302,10353.81,9530.02,10023.04,160591.544,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1569196800,10027.69,10046.91,7700.67,8041.96,324501.177,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1569801600,8042.08,8499,7709.01,7852.79,257976.889,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1570406400,7851.01,8788,7764.42,8274.66,367955.166,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1571011200,8274.33,8408.62,7812,8218.23,508975.286,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1571616000,8218.23,10408.48,7172.76,9533.32,881463.175,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1572220800,9534.37,9930.13,8933,9197.88,697075.617,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1572825600,9197.86,9550,8669.85,9041.31,665125.812,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1573430400,9041.31,9072.91,8355.78,8504.04,632991.917,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1574035200,8504.13,8504.71,6762.73,6900.86,1196506.081,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1574640000,6899.77,7850,6510.19,7387.38,1524870.441,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1575244800,7388,7800,7070,7508.2,983668.839,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1575849600,7507.87,7676.48,7004.77,7115,766967.38,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1576454400,7115.45,7517.61,6427,7502.92,1031936.164,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1577059200,7502.92,7691,7078.89,7383.67,901439.862,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1577664000,7383.68,7495,6863.44,7354.36,774521.268,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1578268800,7354.36,8468.42,7345,8186.7,1484603.363,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1578873600,8186.22,9205.3,8053.78,8705.85,1316693.038,729590.2897000001,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1579478400,8705.98,8820,8247,8611.21,850097.409,771940.3456000001,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1580083200,8611.21,9599,8565,9338.2,1180388.341,825417.4384500001,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1580688000,9340.49,10184.34,9105,10167.38,1122176.4,873496.6812500001,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1581292800,10167.37,10540,9626.64,9921.86,1171759.356,915859.5902000001,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1581897600,9921.87,10286,9293.07,9943.12,936567.245,949789.1080000002,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1582502400,9943.12,10000,8409,8537.84,1268174.767,994800.0880500001,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1583107200,8537.84,9204,7997.7,8038.46,1065944.442,1022648.5458500003,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1583712000,8038.99,8182.31,3621.81,5357.32,3204795.803,1138815.1772500002,19.673692555410202,,,,0,,,0,100,60,-60,53,-53,-93,-103
1584316800,5354.81,6911,4413.62,5810.17,3303441.243,1269133.4585500003,-0.503947144263833,,,,0,,,0,100,60,-60,53,-53,-93,-103
1584921600,5810.3,6960.71,5670,5876.27,2461138.433,1358934.0896000005,-11.007303178224905,2.720814077640488,-13.728117255865394,,0,,,0,100,60,-60,53,-53,-93,-103
1585526400,5876.27,7290,5850,6768.9,2542714.864,1454420.2369500005,-15.24719752683463,-8.919482616441123,-6.327714910393507,,0,,,0,100,60,-60,53,-53,-93,-103
1586131200,6768.9,7457,6741,6900.52,2493042.328,1519247.0493000005,-15.10472032830617,-13.786407011121902,-1.318313317184268,,0,,,0,100,60,-60,53,-53,-93,-103
1586736000,6900.19,7290,6465.33,7118.03,2263527.378,1556179.8961500006,-15.6378012457341,-15.3299063669583,-0.3078948787757998,,0,,,0,100,60,-60,53,-53,-93,-103
1587340800,7118.04,7802.38,6735.95,7694.17,2303688.83,1622180.8957000007,-10.396696943012154,-13.713072839017476,3.3163758960053222,,0,-13.713072839017476,,0,100,60,-60,53,-53,-93,-103
1587945600,7693.63,9479.77,7623.98,8900,3488311.037,1758248.0785500004,6.612992415043292,-6.473835257900987,13.08682767294428,,0,,,0,100,60,-60,53,-53,-93,-103
1588550400,8899.99,10080,7940,8719.53,3809614.655,1897132.0031000008,19.29055255355305,5.1689493418613965,14.121603211691653,,0,,,0,100,60,-60,53,-53,-93,-103
1589155200,8723.23,9950,8151.12,9678.57,3249863.08,2014553.1640000003,29.611197996577253,18.50491432172453,11.106283674852722,,0,,,0,100,60,-60,53,-53,-93,-103
1589760000,9677.31,9958.67,8674,8711.37,2353150.109,2093484.6060500003,34.544580736164235,27.81544376209818,6.729136974066055,,0,,,0,100,60,-60,53,-53,-93,-103
1590364800,8711.37,9753,8623.38,9446.43,1892020.349,2113855.4553500004,38.51023158498826,34.22200343924325,4.288228145745009,,0,,,0,100,60,-60,53,-53,-93,-103
1590969600,9446.49,10497.25,9264.15,9743.92,1781429.763,2137092.2916,44.72620767062011,39.26033999725754,5.465867673362574,,0,,,0,100,60,-60,53,-53,-93,-103
1591574400,9743.92,10015.99,9055.07,9339.61,1433222.938,2166248.56805,44.78633373184027,42.67425766248289,2.1120760693573857,,0,,,0,100,60,-60,53,-53,-93,-103
1592179200,9339.7,9595,8888.43,9293.51,1509977.518,2182728.0269,41.920860439684354,43.811133947381585,-1.8902735076972306,,0,,43.811133947381585,0,100,60,-60,53,-53,-93,-103
1592784000,9293.39,9795,8816.4,9114,1639283.625,2208583.38815,38.99515404856309,41.900782740029236,-2.9056286914661484,,0,,,0,100,60,-60,53,-53,-93,-103
1593388800,9114.01,9293,8900,9071.86,1049228.403,2202456.8405,33.991937785900866,38.30265075804943,-4.310712972148565,,0,,,0,100,60,-60,53,-53,-93,-103
1593993600,9071.87,9470,9058.1,9300.69,1029744.937,2207115.7251000004,33.118205900332654,35.36843257826553,-2.2502266779328792,,0,,,0,100,60,-60,53,-53,-93,-103
1594598400,9300.7,9345,9044.02,9210.51,737747.854,2180594.3794500004,30.502583341159145,32.537575675797555,-2.0349923346384102,,0,,,0,100,60,-60,53,-53,-93,-103
1595203200,9210.68,10300,9131.01,9939.69,1074581.53,2181026.2338500004,39.44051251180776,34.35376725109986,5.0867452607079,,0,34.35376725109986,,0,100,60,-60,53,-53,-93,-103
1595808000,9939.68,12154.25,9928.61,11079.72,3017281.552,2171650.5213,57.40757836619598,42.450224739720966,14.957353626475012,,0,,,0,100,60,-60,53,-53,-93,-103
1596412800,11080.7,11920,10923,11685.99,1492775.024,2081117.21035,68.12725270985983,54.99178119595453,13.135471513905301,,0,,,0,100,60,-60,53,-53,-93,-103
1597017600,11685.99,12100,11127,11921.23,1636310.535,2039875.81545,73.14059276000987,66.22514127868857,6.915451481321298,,0,,,0,100,60,-60,53,-53,-93,-103
1597622400,11921.32,12499.42,11385.06,11654,1484444.409,1986962.2927,74.6286414625904,71.96549564415336,2.6631458184370302,,0,,,0,100,60,-60,53,-53,-93,-103
1598227200,11654,11831.96,11130,11714.14,1126558.79,1918638.1158,71.31473473027619,73.02798965095882,-1.7132549206826297,,0,,73.02798965095882,0,100,60,-60,53,-53,-93,-103
1598832000,11714.13,12061.07,9808.58,10258.13,2129256.684,1911924.5811,59.142870676129945,68.36208228966551,-9.219211613535563,,0,,,0,100,60,-60,53,-53,-93,-103
1599436800,10258.13,10580,9842.01,10327.72,1307550.016,1862117.6404000004,43.574542954294465,58.01071612023353,-14.436173165939067,,0,,,0,100,60,-60,53,-53,-93,-103
1600041600,10327.72,11177,10241.57,10914.28,1305000.991,1752952.1381,38.15239306127344,46.95660223056595,-8.804209169292506,,0,,,0,100,60,-60,53,-53,-93,-103
1600646400,10915.52,10980.69,10132.21,10768,1361333.926,1630538.10165,30.894762964336547,37.540566326634824,-6.6458033622982775,,0,,,0,100,60,-60,53,-53,-93,-103
1601251200,10768,11024,10371.03,10660.16,1112422.487,1523666.0720000002,26.024147791369323,31.69043460565977,-5.666286814290448,,0,,,0,100,60,-60,53,-53,-93,-103
1601856000,10660.16,11494,10510.66,11369.59,1130181.676,1462517.65035,31.660110939495198,29.526340565067017,2.133770374428181,,0,29.526340565067017,,0,100,60,-60,53,-53,-93,-103
1602460800,11369.59,11732,11157,11501.1,1262233.929,1431028.32935,40.65892806750721,32.781062266123904,7.877865801383308,,0,,,0,100,60,-60,53,-53,-93,-103
1603065600,11501.5,13369,11404.01,13023.81,2097989.994,1446856.3409,57.6526568076812,43.32389860489453,14.328758202786666,,0,,,0,100,60,-60,53,-53,-93,-103
1603670400,13024.21,14140,12729,13752.86,2466497.961,1498520.0920499999,71.09276246889542,56.468115781361284,14.624646687534131,,0,,,0,100,60,-60,53,-53,-93,-103
1604275200,13752.87,15984.2,13195,15473.2,3153224.529,1580682.4426,82.20215094721853,70.31585674126505,11.886294205953476,,0,,,0,100,60,-60,53,-53,-93,-103
1604880000,15473.2,16479.99,14822,15952.27,2303969.205,1613916.7215999998,88.31258846485309,80.53583396032236,7.776754504530729,,0,,,0,100,60,-60,53,-53,-93,-103
1605484800,15951.93,18986,15862,18435.2,3130110.809,1717960.8418999997,94.6505867984857,88.3884420701858,6.262144728299901,,0,,,0,100,60,-60,53,-53,-93,-103
1606089600,18434.17,19554.19,16181,18181.09,3042090.201,1818578.1050999996,95.0051512548684,92.6561088394024,2.3490424154659877,,0,,,0,100,60,-60,53,-53,-93,-103
1606694400,18180.43,19956,18050,19375.02,2253295.157,1894355.4702499993,94.93217438480679,94.86263747938698,0.06953690541980961,,0,,,0,100,60,-60,53,-53,-93,-103
1607299200,19375,19446.36,17555,19175.07,1791788.874,1930215.837449999,90.61332412458427,93.51688325475315,-2.903559130168887,,0,,93.51688325475315,0,100,60,-60,53,-53,-93,-103
1607904000,19175.06,24376,19004.72,23472.96,2678860.144,1913294.7670499992,93.5397307719845,93.02840976045853,0.5113210115259648,31.396147646405197,0,93.02840976045853,,0,100,60,-60,53,-53,-93,-103
1608508800,23472.96,28459.84,21920,26305.64,2627143.232,1970013.1774499994,97.40010393950834,93.85105294535906,3.549050994149283,32.39636355024184,0,,,0,100,60,-60,53,-53,-93,-103
1609113600,26301.76,34832.25,25913.01,33054.53,2460453.874,2011220.3443999994,102.97734568379897,97.97239346509728,5.004952218701689,34.15043430109744,0,,,0,100,60,-60,53,-53,-93,-103
1609718400,33053.93,42125.51,27800,38221.67,3119739.273,2092985.0875999995,106.31952572046404,102.23232511459047,4.087200605873576,36.625092408724875,0,,,0,100,60,-60,53,-53,-93,-103
1610323200,38200.01,40189.39,30448,35869.83,3133032.828,2193308.7894999995,103.44030258859866,104.24572466428724,-0.8054220756885826,39.856700333606355,0,,104.24572466428724,0,100,60,-60,53,-53,-93,-103
1610928000,35875.72,37961,28880,32275.63,2313482.811,2202520.095849999,95.70507509110014,101.82163446672097,-6.116559375620824,41.645634575754194,0,,,0,100,60,-60,53,-53,-93,-103
1611532800,32274.88,38641.1,29240,33126.21,2598835.991,2267084.3945999993,88.77158701644282,95.97232156538054,-7.200734548937717,42.4097674349435,0,,,0,100,60,-60,53,-53,-93,-103
1612137600,33125.11,40992.4,32322.47,38849.25,1831337.339,2293401.2119999994,86.16795079306594,90.21487096686964,-4.046920173803699,43.65066227404868,0,,,0,100,60,-60,53,-53,-93,-103
1612742400,38849.24,49875.16,38037,48655.21,2188250.932,2334747.0622999994,89.52100481422072,88.15351420790984,1.3674906063108807,46.65903542498573,0,88.15351420790984,,0,100,60,-60,53,-53,-93,-103
1613347200,48655.21,58472.14,45349.21,57487.43,1785080.647,2368379.970299999,93.93835877759746,89.87577146162805,4.0625873159694095,49.375093087631626,0,,,0,100,60,-60,53,-53,-93,-103
1613952000,57475.5,57591.87,43002.05,45163.36,2979812.103,2460861.4916499993,89.41943941527714,90.95960100236512,-1.5401615870879795,50.5982650162783,0,,90.95960100236512,0,100,60,-60,53,-53,-93,-103
1614556800,45162.64,52681.51,44972.49,50995.27,2144594.339,2504979.51215,84.74247533331464,89.36675784206311,-4.624282508748465,48.37426226186084,0,,,0,100,60,-60,53,-53,-93,-103
1615161600,50991.35,61950,49310,59037.12,2247594.591,2512459.7419999996,84.7817066098723,86.31454045282139,-1.5328338429490884,46.42183663693,0,,,0,100,60,-60,53,-53,-93,-103
1615766400,59037.11,60740,53335,57415.18,2133275.094,2495798.598649999,82.43221004597122,83.98546399638607,-1.553253950414856,45.72143542494723,0,,,0,100,60,-60,53,-53,-93,-103
1616371200,57415.19,58500,50452.08,55805.08,2087280.305,2442501.3874499993,76.86893675599302,81.36095113727886,-4.492014381285841,44.638925577562674,0,,,0,100,60,-60,53,-53,-93,-103
1616976000,55804.16,60397.85,54931.15,58234.61,1583892.695,2406497.561949999,73.78387209394045,77.69500629863491,-3.911134204694463,44.141180351463724,0,,,0,100,60,-60,53,-53,-93,-103
1617580800,58234.61,61800,55536.07,60090.2,1297659.8,2314875.011499999,71.00674400499986,73.88651761831112,-2.879773613311258,43.78091279860653,0,,,0,100,60,-60,53,-53,-93,-103
1618185600,60093.26,64986.11,50050,56140.05,1949480.599,2260244.5313999993,65.41840369404358,70.06967326432797,-4.6512695702843985,43.13084669720653,0,,,0,100,60,-60,53,-53,-93,-103
1618790400,56140.05,57532.7,46930.43,49063.94,2480262.616,2271592.904349999,52.567889116442466,62.99767893849532,-10.429789822052854,41.62277259490947,0,,,0,100,60,-60,53,-53,-93,-103
1619395200,49063.94,58488.17,48763,56630.33,1842402.041,2274123.562699999,47.27676507361325,55.08768596136645,-7.810920887753198,42.44360503793951,0,,,0,100,60,-60,53,-53,-93,-103
1620000000,56630.34,59590.96,52880.38,58292.53,2021025.882,2241231.8495999994,46.39998944640945,48.748214545488416,-2.3482250990789666,45.96018787900053,0,,,0,100,60,-60,53,-53,-93,-103
1620604800,58292.53,59654,43866,46429.28,3153583.658,2267553.870899999,31.946016046888438,41.874256855637064,-9.928240808748626,45.67898817078465,0,,,0,100,60,-60,53,-53,-93,-103
1621209600,46429.28,46655,28688,34651.6,6064182.157,2447740.285049999,5.1956783538463185,27.84722794904809,-22.65154959520177,43.31577490814093,0,,,0,100,60,-60,53,-53,-93,-103
1621814400,34656.53,40900,33356,35651.81,4505211.854,2517013.9140999992,-10.941871768046187,8.73327421089621,-19.675145978942396,41.31590781230539,0,,,0,100,60,-60,53,-53,-93,-103
1622419200,35651.8,39470,34150,35801.71,3950352.758,2557879.910599999,-21.204090977152404,-8.983428130450735,-12.22066284670167,39.58816274699002,0,,,0,100,60,-60,53,-53,-93,-103
1623024000,35801.71,39374.18,30969,38993.65,5304319.373,2707421.7386999996,-27.65649342741323,-19.93415205753725,-7.722341369875981,38.56591128347872,0,,,0,100,60,-60,53,-53,-93,-103
1623628800,38993.66,41413,33312,35588.64,4876593.304,2821309.6043499997,-31.24234975261852,-26.700978052394692,-4.541371700223827,37.44047802425173,0,,,0,100,60,-60,53,-53,-93,-103
1624233600,35588.63,35746.28,28780.01,34687.71,7746344.321,3117059.9534499994,-37.03461022571183,-31.97781780191453,-5.056792423797301,34.48446509183953,0,,,0,100,60,-60,53,-53,-93,-103
1624838400,34687.71,36623,32672.04,35280.16,4617547.366,3238524.7751499997,-38.22383102311647,-35.50026366714894,-2.723567355967525,32.746101309856975,0,,,0,100,60,-60,53,-53,-93,-103
1625443200,35280.17,35281.55,32066,34253.81,3727326.206,3335637.0530999997,-39.61531183199904,-38.29125102694245,-1.3240608050565896,30.653166819060917,0,,,0,100,60,-60,53,-53,-93,-103
1626048000,34253.88,34662.73,31018.59,31767,3380985.11,3355695.7034499994,-41.641866686458336,-39.82700318052462,-1.8148635059337153,28.630711060438003,0,,,0,100,60,-60,53,-53,-93,-103
1626652800,31765.23,35400,29242.24,35370.66,3458147.938,3421373.3833999992,-41.06465752054022,-40.77394534633253,-0.290712174207691,28.165448745055908,0,,,0,100,60,-60,53,-53,-93,-103
1627257600,35370.67,48168.6,35185.49,39846.78,4468092.58,3532398.2828499996,-26.631324265398092,-36.44594949079888,9.814625225400789,30.665716978794435,0,-36.44594949079888,,0,100,60,-60,53,-53,-93,-103
1627862400,39846.78,45350,37291,43787.71,3985788.573,3625023.9568,-13.90039620275733,-27.19879266289855,13.298396460141221,32.59912060558011,0,,,0,100,60,-60,53,-53,-93,-103
1628467200,43787.71,48300,42785,47006.02,3128981.054,3677108.9942499995,1.0870588097895393,-13.14822055278863,14.235279362578169,35.01599732670067,0,,,0,100,60,-60,53,-53,-93,-103
1629072000,47006.02,49833,43938.38,49273.28,2765858.08,3736207.2635,13.251273629296406,0.14597874544287257,13.105294883853533,37.12889693993764,0,,,0,100,60,-60,53,-53,-93,-103
1629676800,49273.28,50600,46280,48795.41,2560264.54,3799337.5005,22.234313672592087,12.190882037226011,10.043431635366076,39.13619332030431,0,,,0,100,60,-60,53,-53,-93,-103
1630281600,48795.42,51950,46550.99,51799.57,2423617.744,3823044.35775,29.791387598927145,21.758991633605216,8.032395965321928,39.77620445601796,0,,,0,100,60,-60,53,-53,-93,-103
1630886400,51799.56,52950,42088,46046.73,2567904.998,3827426.47685,29.93824917981135,27.321316817110198,2.616932362701153,39.65995680522124,0,,,0,100,60,-60,53,-53,-93,-103
1631491200,46048.02,48850,43323.93,47256.91,1877864.572,3829199.6034000004,28.657593667262,29.462410148666834,-0.8048164814048349,36.362838607217334,0,,29.462410148666834,0,100,60,-60,53,-53,-93,-103
1632096000,47256.92,47345,39503.58,43150,3255190.999,3890907.85925,20.108588795824637,26.234810547632662,-6.126221751808025,31.18830234572113,0,,,0,100,60,-60,53,-53,-93,-103
1632700800,43150.01,49304.12,40708.73,48187.3,2172031.719,3841830.2623000005,20.450493323944734,23.07222526234379,-2.621731938399055,28.56082737319927,0,,,0,100,60,-60,53,-53,-93,-103
1633305600,48187.99,56789,46885.29,54700,2031953.189,3640218.8139,34.5023711675482,25.020484429105853,9.481886738442345,29.73012890785592,0,25.020484429105853,,0,100,60,-60,53,-53,-93,-103
1633910400,54700,63997.61,53750,61571.45,2193200.82,3524618.2621999993,50.53582756528764,35.16289735226019,15.372930213027452,31.58265775785184,0,,,0,100,60,-60,53,-53,-93,-103
1634515200,61571.45,67150,59504.46,60902.82,2334605.056,3443830.877099999,60.404596744105646,48.48093182564716,11.923664918458485,33.357943601529676,0,,,0,100,60,-60,53,-53,-93,-103
1635120000,60902.82,63795.98,57550,61348.61,1706892.957,3263959.5562999994,62.689742288699215,57.87672219936417,4.813020089335048,35.27378388878242,0,,,0,100,60,-60,53,-53,-93,-103
1635724800,61347.14,64349.55,59400,63316.4,1314984.648,3085879.1234999998,63.99189355722764,62.36207753001083,1.6298160272168118,37.27883254330892,0,,,0,100,60,-60,53,-53,-93,-103
1636329600,63316.4,69198.7,62313,65568.39,1568358.989,2776979.8568999995,66.46709985171111,64.38291189921266,2.0841879524984535,38.43356626332912,0,,,0,100,60,-60,53,-53,-93,-103
1636934400,65568.38,66395.05,55604,58661.39,1947404.916,2643472.7343999995,60.05090673078522,63.50330004657465,-3.452393315789429,38.31372594259075,0,,63.50330004657465,0,100,60,-60,53,-53,-93,-103
1637539200,58648.87,59624.56,53245,57315.73,1727945.22,2543503.6850999994,48.65919568924116,58.39240075724583,-9.733205068004672,36.68588211321295,0,,,0,100,60,-60,53,-53,-93,-103
1638144000,57315.72,59224.99,40888.89,49376.6,2336025.411,2491255.700149999,28.699506660734656,45.803203026920336,-17.10369636618568,33.0864883801061,0,,,0,100,60,-60,53,-53,-93,-103
1638748800,49373.83,51929,46724.35,50057.01,1791084.508,2407902.5286499993,13.923010636007069,30.427237661994294,-16.504227025987227,29.5928253198657,0,,,0,100,60,-60,53,-53,-93,-103
1639353600,50057.02,50180,45373.11,46668.63,1935042.118,2281250.0055499994,0.41621507535504243,14.346244124032253,-13.930029048677211,25.631539173718295,0,,,0,100,60,-60,53,-53,-93,-103
1639958400,46668.65,51805,45530.67,50765.73,1550833.565,2159502.255149999,-6.287473426476564,2.6839174282951803,-8.971390854771744,23.07430353564994,0,,,0,100,60,-60,53,-53,-93,-103
1640563200,50765.73,52134,45650,47280,1708449.949,2088475.6998999994,-12.788029661970285,-6.219762671030601,-6.568266990939684,20.96590311932214,0,,,0,100,60,-60,53,-53,-93,-103
1641168000,47280.01,47575.22,40456.56,41851.22,2302005.988,2065283.0952999995,-24.514526386428788,-14.530009824958546,-9.984516561470242,18.147742595126946,0,,,0,100,60,-60,53,-53,-93,-103
1641772800,41851.22,44396.68,39610,43060.66,1982649.99,2036402.3677999997,-32.704215123088375,-23.335590390495813,-9.368624732592561,15.186606944851084,0,,,0,100,60,-60,53,-53,-93,-103
1642377600,43060.66,43495,33950,36230.01,3069957.673,2068719.3642499994,-42.39418784873573,-33.2043097860843,-9.189878062651431,11.982372831290547,0,,,0,100,60,-60,53,-53,-93,-103
1642982400,36230,38886.58,32853.83,37870.01,3010215.186,2090834.873649999,-48.67968343068539,-41.25936213416983,-7.42032129651556,9.552135083642025,0,,,0,100,60,-60,53,-53,-93,-103
1643587200,37870,42656.8,36204.3,42361.35,2305664.677,2112224.8788999994,-46.968765081471346,-46.014212120297486,-0.9545529611738601,9.153879274488892,0,,,0,100,60,-60,53,-53,-93,-103
1644192000,42361.34,45847.5,41540,42041.13,2613247.872,2080127.7225499996,-40.57264732344836,-45.40703194520169,4.83438462175333,8.473765199384637,0,-45.40703194520169,,0,100,60,-60,53,-53,-93,-103
1644796800,42041.12,44777,37905,38368.1,2163520.526,2079702.1628999996,-40.510040316691125,-42.68381757387027,2.1737772571791467,6.624750710088092,0,,,0,100,60,-60,53,-53,-93,-103
